monitoring_id,api_name,timestamp,status_code,response_time_ms,response_size_bytes,availability_flag,error_message
3031bf63-61f1-41fa-bf25-0c61d861af2b,GitHub,2026-06-05T10:43:28Z,200,257.45,530.0,1,
891cb2d8-67c5-46c2-980e-b584aaa18127,StackExchange,2026-06-05T10:43:29Z,200,1442.32,53664.0,1,
8ec4f712-b1f3-4d28-b18e-3b657973bd1f,OpenLibrary,2026-06-05T10:43:30Z,200,1387.62,50175.0,1,
6b27f001-84d6-4e22-9ee1-03f6dbc31491,JSONPlaceholder,2026-06-05T10:43:31Z,200,294.07,8473.0,1,
fd606c1f-5cf6-457d-bf40-b60924d3e4c2,SpaceX,2026-06-05T10:43:32Z,200,682.33,768.0,1,
83053c2a-b819-4390-8b76-bf9a01e3b7fb,CoinGecko,2026-06-05T10:43:32Z,200,884.5,34.0,1,
d5bd7ef4-bfa6-4272-ba9a-7c4ce34a70b2,GitHub,2026-06-05T10:50:15Z,200,619.12,530.0,1,
c8dc08bd-56a4-44be-bd76-a7e128f2925c,StackExchange,2026-06-05T10:50:15Z,200,1974.77,53664.0,1,
e10808e4-7515-4925-a180-0b898e69ca2e,OpenLibrary,2026-06-05T10:50:17Z,200,2229.96,50175.0,1,
af86a950-a32a-40cf-a731-7dd70d9c57de,JSONPlaceholder,2026-06-05T10:50:20Z,200,696.53,8473.0,1,
d00ebe7a-5c7d-47e5-8dd4-0be4308225a4,SpaceX,2026-06-05T10:50:20Z,200,1047.98,768.0,1,
3cc50ff1-77fa-4264-938b-c310a53e354e,CoinGecko,2026-06-05T10:50:21Z,200,1143.21,34.0,1,
ab347601-78d6-4c36-ab57-17d4f6685455,GitHub,2026-06-05T10:50:24Z,200,590.2,530.0,1,
dd528d17-b33e-4461-ad4d-9c09b67a5b79,StackExchange,2026-06-05T10:50:25Z,200,1846.38,53664.0,1,
5fee82da-b5f1-464d-9c5e-efa04b4df748,OpenLibrary,2026-06-05T10:50:27Z,200,4251.71,50175.0,1,
e3e9ff95-cb86-4584-bd2d-305ef5b2e486,JSONPlaceholder,2026-06-05T10:50:31Z,200,643.24,8473.0,1,
995761db-20ce-4700-862c-b7a85c914b05,SpaceX,2026-06-05T10:50:32Z,200,908.66,768.0,1,
